dataset,method,auroc,aupr
mHSC-L_nonspecific_chipseq_500,STGRNS,0.5985774937628573,0.0001286625365757
mHSC-L_nonspecific_chipseq_500,all_methods,0.6033163544447848,0.0001429631351064
mHSC-L_nonspecific_chipseq_500,scGREAT,0.4239036671481303,7.876578777778175e-05
mHSC-L_nonspecific_chipseq_tf1000,GNE,0.8138278946964408,0.0011631230385461
mHSC-L_nonspecific_chipseq_tf1000,GNNLink,0.9529958472919302,0.0092306469492835
mHSC-L_nonspecific_chipseq_tf1000,GRNFormer,0.8473738078969997,0.0021735261002172
mHSC-L_nonspecific_chipseq_tf1000,STGRNS,0.522438381912343,0.0001516858564337
mHSC-L_nonspecific_chipseq_tf1000,all_methods,0.8138278946964408,0.0011631230385461
mHSC-L_nonspecific_chipseq_tf1000,scGREAT,0.6036656306773777,0.0002124140208555
mHSC-L_nonspecific_chipseq_tf500,GNE,0.8044941081479431,0.0081295464623246
mHSC-L_nonspecific_chipseq_tf500,GNNLink,0.9408158955958684,0.0071173714242436
mHSC-L_nonspecific_chipseq_tf500,GRNFormer,0.7996960410789945,0.0014619066999297
mHSC-L_nonspecific_chipseq_tf500,STGRNS,0.6026772936412376,0.0003775436689885
mHSC-L_nonspecific_chipseq_tf500,all_methods,0.8044941081479431,0.0081295464623246
mHSC-L_nonspecific_chipseq_tf500,scGREAT,0.5431949743575398,0.0002760001114569
mHSC-L_specific_chipseq_1000,GNE,0.8160401879612849,0.0108742511224338
mHSC-L_specific_chipseq_1000,GRNFormer,0.8294227833641328,0.0196786927099436
mHSC-L_specific_chipseq_1000,STGRNS,0.3550148736681136,0.0010203949362867
mHSC-L_specific_chipseq_1000,all_methods,0.8160401879612849,0.0108742511224338
mHSC-L_specific_chipseq_1000,scGREAT,0.5802231076936469,0.0017991635299834
mHSC-L_specific_chipseq_500,GNE,0.7832416708404191,0.005443942935735
mHSC-L_specific_chipseq_500,GNNLink,0.9921548051842785,0.0876276264226041
mHSC-L_specific_chipseq_500,GRNFormer,0.8580750289099892,0.0150734612493116
mHSC-L_specific_chipseq_500,STGRNS,0.433293979336834,0.0008695349819554
mHSC-L_specific_chipseq_500,all_methods,0.7832416708404191,0.005443942935735
mHSC-L_specific_chipseq_500,scGREAT,0.3969884943957814,0.0008439641694224
mHSC-L_specific_chipseq_tf1000,GNE,0.7637743292493703,0.0081230944620167
mHSC-L_specific_chipseq_tf1000,GRNFormer,0.7872204183910023,0.013241684617515
mHSC-L_specific_chipseq_tf1000,STGRNS,0.6044388431671841,0.0019927015097724
mHSC-L_specific_chipseq_tf1000,all_methods,0.7637743292493703,0.0081230944620167
mHSC-L_specific_chipseq_tf1000,scGREAT,0.458452019097715,0.0012754387530148
mHSC-L_specific_chipseq_tf500,GNE,0.8008482862466269,0.0163497578143966
mHSC-L_specific_chipseq_tf500,GRNFormer,0.842366298582667,0.0162523495789151
mHSC-L_specific_chipseq_tf500,STGRNS,0.4487514822529433,0.0022158433416493
mHSC-L_specific_chipseq_tf500,all_methods,0.8008482862466269,0.0163497578143966
mHSC-L_specific_chipseq_tf500,scGREAT,0.5672035060220074,0.0031322722485157
mHSC-L_string_500,GNE,0.6485811791692399,0.000253017602823
mHSC-L_string_500,GRNFormer,0.981439801038918,0.0016418566526584
mHSC-L_string_500,STGRNS,0.3825302171140751,4.148975720758058e-05
mHSC-L_string_500,all_methods,0.6485811791692399,0.000253017602823
mHSC-L_string_500,scGREAT,0.4740576284010127,4.65203032953364e-05
mHSC-L_string_tf1000,GNE,0.8335626199551718,0.0015079635864695
mHSC-L_string_tf1000,GRNFormer,0.8809512071309558,0.0041459289524505
mHSC-L_string_tf1000,STGRNS,0.6178635231124638,0.0001255009350541
mHSC-L_string_tf1000,all_methods,0.8335626199551718,0.0015079635864695
mHSC-L_string_tf1000,scGREAT,0.6246695571478285,0.0001598342065293
mHSC-L_string_tf500,GNE,0.8557463483191342,0.0017298404067304
mHSC-L_string_tf500,GRNFormer,0.8364153462038807,0.001675392636956
mHSC-L_string_tf500,STGRNS,0.554218728836054,0.000264254311013
mHSC-L_string_tf500,all_methods,0.8557463483191342,0.0017298404067304
mHSC-L_string_tf500,scGREAT,0.4412750610056711,0.0001294969642362
