Dataset,Method,epr@100,epr@500,epr@1000,epr@2000,gt_k,epr@gt
mESC_specific_chipseq_tf1000,SINCERITIES,0.0,0.0,0.0,0.0,1217,0.0
mESC_specific_chipseq_tf1000,STGRNS,0.0,0.0,0.0,0.0,1217,0.0
mESC_specific_chipseq_tf1000,GRNFormer,0.01,0.032,0.022,0.023,1217,0.02218570254724733
mESC_specific_chipseq_tf500,CNNC,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_tf500,GNE,0.08,0.04,0.027,0.0185,392,0.05102040816326531
mESC_specific_chipseq_tf500,GNNLink,0.0,0.02,0.012,0.008,392,0.015306122448979591
mESC_specific_chipseq_tf500,LEAP,0.01,0.006,0.007,0.0055,392,0.007653061224489796
mESC_specific_chipseq_tf500,PIDC,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_tf500,PPCOR,0.0,0.002,0.002,0.002,392,0.002551020408163265
mESC_specific_chipseq_tf500,scGREAT,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_tf500,SINCERITIES,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_tf500,STGRNS,0.0,0.0,0.0,0.0,392,0.0
mESC_specific_chipseq_tf500,GRNFormer,0.05,0.018,0.023,0.0195,392,0.030612244897959183
mESC_string_1000,CNNC,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,GNE,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,GNNLink,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,LEAP,0.0,0.002,0.001,0.001,100,0.0
mESC_string_1000,PIDC,0.0,0.002,0.001,0.001,100,0.0
mESC_string_1000,PPCOR,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,scGREAT,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,SINCERITIES,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,STGRNS,0.0,0.0,0.0,0.0,100,0.0
mESC_string_1000,GRNFormer,0.01,0.006,0.003,0.002,100,0.01
mESC_string_500,CNNC,0.0,0.002,0.001,0.0005,40,0.0
mESC_string_500,GNE,0.02,0.004,0.003,0.002,40,0.0
mESC_string_500,GNNLink,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,LEAP,0.01,0.004,0.003,0.0025,40,0.0
mESC_string_500,PIDC,0.0,0.002,0.001,0.001,40,0.0
mESC_string_500,PPCOR,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,scGREAT,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,SINCERITIES,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,STGRNS,0.0,0.0,0.0,0.0,40,0.0
mESC_string_500,GRNFormer,0.03,0.006,0.004,0.0025,40,0.025
mESC_string_tf1000,CNNC,0.0,0.0,0.0,0.0,100,0.0
mESC_string_tf1000,GNE,0.0,0.0,0.001,0.0005,100,0.0
mESC_string_tf1000,GNNLink,0.0,0.0,0.0,0.0,100,0.0
mESC_string_tf1000,LEAP,0.0,0.004,0.004,0.003,100,0.0
mESC_string_tf1000,PIDC,0.01,0.004,0.003,0.002,100,0.01
mESC_string_tf1000,PPCOR,0.0,0.0,0.001,0.0005,100,0.0
mESC_string_tf1000,scGREAT,0.0,0.0,0.0,0.0,100,0.0
mESC_string_tf1000,SINCERITIES,0.0,0.0,0.0,0.0,100,0.0
mESC_string_tf1000,STGRNS,0.0,0.0,0.0,0.0,100,0.0
mESC_string_tf1000,GRNFormer,0.0,0.0,0.001,0.001,100,0.0
mESC_string_tf500,CNNC,0.0,0.0,0.001,0.0005,40,0.0
mESC_string_tf500,GNE,0.0,0.002,0.002,0.002,40,0.0
mESC_string_tf500,GNNLink,0.0,0.0,0.0,0.0,40,0.0
mESC_string_tf500,LEAP,0.01,0.004,0.003,0.0025,40,0.0
mESC_string_tf500,PIDC,0.0,0.002,0.001,0.001,40,0.0
mESC_string_tf500,PPCOR,0.0,0.0,0.0,0.0,40,0.0
mESC_string_tf500,scGREAT,0.0,0.002,0.002,0.001,40,0.0
mESC_string_tf500,SINCERITIES,0.0,0.0,0.0,0.0,40,0.0
mESC_string_tf500,STGRNS,0.0,0.0,0.0,0.0,40,0.0
mESC_string_tf500,GRNFormer,0.0,0.0,0.002,0.0045,40,0.0
mHSC-L_nonspecific_chipseq_1000,CNNC,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,GNE,0.0,0.0,0.001,0.001,125,0.0
mHSC-L_nonspecific_chipseq_1000,GNNLink,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,LEAP,0.0,0.002,0.003,0.0045,125,0.0
mHSC-L_nonspecific_chipseq_1000,PIDC,0.0,0.01,0.006,0.0055,125,0.0
mHSC-L_nonspecific_chipseq_1000,PPCOR,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,scGREAT,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,SINCERITIES,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,STGRNS,0.0,0.0,0.0,0.0,125,0.0
mHSC-L_nonspecific_chipseq_1000,GRNFormer,0.01,0.002,0.004,0.0075,125,0.008
mHSC-L_nonspecific_chipseq_500,CNNC,0.0,0.002,0.001,0.0005,22,0.0
mHSC-L_nonspecific_chipseq_500,GNE,0.0,0.0,0.0,0.0,22,0.0
mHSC-L_nonspecific_chipseq_500,GNNLink,0.0,0.0,0.0,0.0,22,0.0
mHSC-L_nonspecific_chipseq_500,LEAP,0.0,0.002,0.001,0.0005,22,0.0
mHSC-L_nonspecific_chipseq_500,PIDC,0.01,0.004,0.002,0.001,22,0.0
mHSC-L_nonspecific_chipseq_500,PPCOR,0.0,0.0,0.0,0.0,22,0.0
mHSC-L_nonspecific_chipseq_500,scGREAT,0.0,0.0,0.0,0.0,22,0.0
mHSC-L_nonspecific_chipseq_500,SINCERITIES,0.0,0.0,0.0,0.0,22,0.0
mHSC-L_nonspecific_chipseq_500,STGRNS,0.0,0.0,0.0,0.0,22,0.0
mHSC-L_nonspecific_chipseq_500,GRNFormer,0.0,0.0,0.0,0.002,22,0.0
mHSC-L_nonspecific_chipseq_tf1000,CNNC,0.0,0.0,0.0,0.0,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,GNE,0.0,0.004,0.003,0.0025,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,GNNLink,0.0,0.0,0.0,0.0,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,LEAP,0.0,0.002,0.003,0.0045,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,PIDC,0.0,0.008,0.008,0.004,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,scGREAT,0.0,0.0,0.0,0.0005,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,STGRNS,0.0,0.0,0.0,0.0,167,0.0
mHSC-L_nonspecific_chipseq_tf1000,GRNFormer,0.0,0.002,0.002,0.003,167,0.005988023952095809
mHSC-L_nonspecific_chipseq_tf500,CNNC,0.0,0.002,0.003,0.0015,95,0.010526315789473684
mHSC-L_nonspecific_chipseq_tf500,GNE,0.02,0.006,0.004,0.0045,95,0.021052631578947368
mHSC-L_nonspecific_chipseq_tf500,GNNLink,0.0,0.0,0.0,0.0,95,0.0
mHSC-L_nonspecific_chipseq_tf500,LEAP,0.0,0.004,0.005,0.003,95,0.0
mHSC-L_nonspecific_chipseq_tf500,PIDC,0.01,0.01,0.006,0.0035,95,0.010526315789473684
mHSC-L_nonspecific_chipseq_tf500,PPCOR,0.0,0.0,0.0,0.0,95,0.0
mHSC-L_nonspecific_chipseq_tf500,scGREAT,0.0,0.0,0.0,0.0,95,0.0
mHSC-L_nonspecific_chipseq_tf500,SINCERITIES,0.0,0.0,0.0,0.0,95,0.0
mHSC-L_nonspecific_chipseq_tf500,STGRNS,0.0,0.0,0.0,0.0015,95,0.0
mHSC-L_nonspecific_chipseq_tf500,GRNFormer,0.0,0.0,0.001,0.0025,95,0.0
mHSC-L_specific_chipseq_1000,CNNC,0.0,0.002,0.003,0.0045,1434,0.0041841004184100415
mHSC-L_specific_chipseq_1000,GNE,0.04,0.048,0.044,0.032,1434,0.0397489539748954
mHSC-L_specific_chipseq_1000,GNNLink,0.0,0.0,0.0,0.0,1434,0.0
mHSC-L_specific_chipseq_1000,LEAP,0.0,0.0,0.0,0.0,1434,0.0
mHSC-L_specific_chipseq_1000,PIDC,0.0,0.0,0.0,0.001,1434,0.000697350069735007
mHSC-L_specific_chipseq_1000,PPCOR,0.0,0.0,0.001,0.0015,1434,0.000697350069735007
mHSC-L_specific_chipseq_1000,scGREAT,0.0,0.002,0.001,0.0015,1434,0.000697350069735007
mHSC-L_specific_chipseq_1000,SINCERITIES,0.0,0.0,0.0,0.001,1434,0.0
mHSC-L_specific_chipseq_1000,STGRNS,0.0,0.0,0.0,0.0,1434,0.0
mHSC-L_specific_chipseq_1000,GRNFormer,0.02,0.028,0.034,0.0325,1434,0.03486750348675035
mHSC-L_specific_chipseq_500,CNNC,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,GNE,0.01,0.018,0.012,0.0095,269,0.01486988847583643
mHSC-L_specific_chipseq_500,GNNLink,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,LEAP,0.0,0.0,0.0,0.002,269,0.0
mHSC-L_specific_chipseq_500,PIDC,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,PPCOR,0.0,0.004,0.005,0.003,269,0.007434944237918215
mHSC-L_specific_chipseq_500,scGREAT,0.0,0.0,0.002,0.001,269,0.0
mHSC-L_specific_chipseq_500,SINCERITIES,0.0,0.0,0.0,0.001,269,0.0
mHSC-L_specific_chipseq_500,STGRNS,0.0,0.0,0.0,0.0,269,0.0
mHSC-L_specific_chipseq_500,GRNFormer,0.0,0.0,0.01,0.018,269,0.0
